position,artist_name,song_name,days,top_10_x_times,peak_position,peak_position_x_times,peak_streams,total_streams,track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
17,Glass Animals ,Heat Waves,763,248,1,(x34),1230046,540754791,Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464
7,The Weeknd ,Blinding Lights,1100,233,1,(x11),2355059,644287953,Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
52,Harry Styles ,As It Was,273,203,1,(x40),5953134,348668080,As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
39,The Weeknd ,The Hills,1243,194,1,(x6),1147436,392023505,The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b
23,Drake ,One Dance,772,187,1,(x103),2767175,454267392,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c
24,Olivia Rodrigo ,good 4 u,547,187,1,(x53),4974833,454100610,good 4 u,Olivia Rodrigo,1,2021,5,14,15563,6,1887039593,259,55,461,1,,166,F#,Minor,56,68,66,28,0,11,18,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
2,Juice WRLD ,Lucid Dreams,1673,178,1,(x20),2127668,864832399,Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111,188,34,710,0,5,84,B,Minor,44,22,48,38,0,33,24,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4
12,Post Malone ,Circles,1172,163,1,(x38),3441328,598521764,Circles,Post Malone,1,2019,8,30,19664,16,2132335812,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
70,Mariah Carey ,All I Want for Christmas Is You,426,162,1,(x15),3987998,312323662,All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,1449779435,387,132,"2,094",0,,150,G,Major,34,33,63,16,0,7,4,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
37,The Chainsmokers ,Closer,696,158,1,(x70),2504045,397735618,Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264,315,159,"2,179",0,44,95,G#,Major,75,64,52,41,0,11,3,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453
169,Bad Bunny ,Me Porto Bonito,237,154,2,(x27),1947674,217545422,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,Not Found
11,Kendrick Lamar ,HUMBLE.,1175,152,1,(x67),4060034,606305588,HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,284,114,"1,481",0,5,150,C#,Minor,91,42,60,0,0,9,12,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
308,Hozier ,Take Me To Church,644,147,1,(x58),669026,152777306,Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2
47,The Weeknd ,Starboy,785,141,1,(x29),2070596,368997138,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
199,Justin Bieber ,Love Yourself,458,138,1,(x24),1333001,198773307,Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722,289,87,"2,430",0,36,100,E,Major,61,53,38,84,0,28,44,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de
140,Steve Lacy ,Bad Habit,183,136,1,(x66),1691327,239087671,Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee
